country,city,count,locations,firstUpdated,lastUpdated,parameters
US,BREWSTER,12678508,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Bridgeport-Stamford-Norwalk,69715473,5,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25', 'so2']"
US,Brigham City,46527,1,2016-03-06T19:00:00+00:00,2019-06-25T15:00:00+00:00,"['no2', 'o3', 'pm25']"
US,BRISTOL,27182005,1,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,['o3']
US,BROOKINGS,86488046,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,BROWN,81426018,2,2016-04-01T07:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Brownsville-Harlingen,15838,2,2016-03-06T19:00:00+00:00,2018-01-05T16:00:00+00:00,"['o3', 'pm25']"
US,Brunswick,22750,1,2016-03-06T19:00:00+00:00,2020-11-10T06:00:00+00:00,['o3']
US,BRUNSWICK,29966968,1,2016-11-10T16:00:00+00:00,2021-02-01T12:00:00+00:00,['so2']
US,BRYAN,8265,1,2017-02-27T16:00:00+00:00,2018-12-06T17:00:00+00:00,['o3']
US,Buffalo-Niagara Falls,107655604,5,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,Burlington,14,1,2014-09-29T00:00:00+00:00,2014-10-15T00:00:00+00:00,['ch4']
US,Burlington-South Burlington,195181071,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'no2', 'o3', 'pm25', 'so2']"
US,BUTLER,89296652,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['pm25', 'so2']"
US,BUTTE,186704603,4,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['co', 'no2', 'o3', 'pm10', 'pm25']"
US,CA8 - ARB,21288,167,2016-08-08T16:00:00+00:00,2020-12-16T19:00:00+00:00,['pm25']
US,CABELL,7002,2,2019-03-01T13:00:00+00:00,2020-11-02T13:00:00+00:00,['o3']
US,CACHE,37932047,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25']"
US,CADDO,7914,1,2016-03-10T07:00:00+00:00,2017-06-19T13:00:00+00:00,['o3']
US,Cadillac,88779203,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm25']"
US,CALAVERAS,80226419,2,2016-03-06T19:00:00+00:00,2021-02-01T08:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,Cambridge,25450156,1,2016-06-09T19:00:00+00:00,2021-02-01T03:00:00+00:00,['o3']
US,CAMERON,19445,1,2016-03-06T19:00:00+00:00,2019-10-02T15:00:00+00:00,['pm25']
US,Canton-Massillon,30527108,5,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm25']"
US,Cape Coral-Fort Myers,82631954,3,2016-03-06T19:00:00+00:00,2021-02-01T03:00:00+00:00,"['o3', 'pm10', 'pm25']"
US,CARBON,56691641,3,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
US,CARIBOU,27197484,2,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['pm25', 'so2']"
US,Carlsbad-Artesia,60554341,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['no2', 'o3']"
US,CARLTON,26996857,1,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['o3', 'pm25']"
US,CARSON CITY,58796367,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,"['o3', 'pm25']"
US,CARTER,19046,1,2016-03-06T19:00:00+00:00,2020-10-30T15:00:00+00:00,['o3']
US,CASCADE,29594837,1,2016-03-10T07:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
US,Casper,53927175,2,2016-12-02T07:00:00+00:00,2021-02-01T10:00:00+00:00,"['no2', 'o3', 'pm10', 'pm25', 'so2']"
US,CASS,28631836,1,2018-01-03T14:00:00+00:00,2021-02-01T11:00:00+00:00,['pm25']
US,CASWELL,1499501,2,2016-03-06T19:00:00+00:00,2021-01-08T15:00:00+00:00,"['o3', 'pm10']"
US,CATANO,23542,1,2016-05-04T11:00:00+00:00,2020-03-09T12:00:00+00:00,"['pm10', 'pm25']"
US,CEDAR,27977984,2,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,"['o3', 'pm25']"
US,Cedar Rapids,60777428,6,2016-03-06T19:00:00+00:00,2021-02-01T11:00:00+00:00,"['co', 'o3', 'pm25', 'so2']"
US,Chambersburg,19985003,1,2016-03-06T19:00:00+00:00,2021-02-01T12:00:00+00:00,['o3']
US,CHAMPAIGN,29576077,1,2016-03-06T19:00:00+00:00,2021-02-01T10:00:00+00:00,['pm25']
