City,Population,Public Transportation Rate,Median Age
Arecibo,66251.0,0.6873897439016972,39.3
Arlington,480360.0,6.77107457962449,35.55384615384615
Arlington Heights,80684.0,6.488465392325531,41.55
Arnold,36306.0,0.33092493519386684,38.9
Arroyo Grande,30076.0,0.7622420696027102,47.6
Artesia,50069.0,2.6363838788688487,44.2
Arvada,36680.0,2.4088576829597623,41.4
Ashburn,94148.0,4.297147901964497,33.7
Asheboro,33353.0,0.08265032026999104,40.2
Asheville,70385.0,1.062501036034249,38.15
Ashland,32347.0,0.2197179105535474,39.4
Ashtabula,32956.0,0.9495641344956414,41.9
Ashwaubenon,42463.0,0.34198166978249966,35.4
Aspen Hill,68733.0,18.72838752796908,40.3
Atascadero,31899.0,1.3894678338196471,42.8
Atascocita,57329.0,1.1089296102385107,33.4
Athens,166135.0,1.6741192677128578,31.7
Atlanta,461976.0,11.9031662837246,34.23076923076923
Atlantic City,39521.0,27.67942257932725,37.0
Atwater,38007.0,0.5113935474167105,32.8
Auburn,138544.0,3.4617362906642386,36.825
Auburndale,29351.0,0.11557610241820768,39.7
Audubon,45307.0,2.482531140141487,41.5
Augusta,177176.0,0.7548154859540231,35.425
Aurora,475607.0,4.900933703712899,32.422222222222224
Austell,26365.0,2.8593376579037213,31.1
Austin,725220.0,5.560267598400694,33.41578947368421
Aventura,32103.0,2.25888520545833,45.0
Avon,32558.0,0.0,36.2
Avon Park,25848.0,4.672372667321453,45.3
Avondale,76557.0,0.8109117423026697,30.0
Azalea Park,32410.0,2.875567546226229,34.7
Añasco,28805.0,0.0,39.7
BAYVIEW GARDE,25495.0,0.9283050145047659,42.6
BETHEL,44765.0,1.5735074818738108,32.4
BRECKNRDG HLS,35589.0,1.8002257336343115,36.5
BROOKSIDE VL,44451.0,0.18468468468468469,35.8
BRWNSBORO VLG,30237.0,0.8858581352367599,41.1
BVL,38996.0,1.1777037859168824,35.5
Bakersfield,458006.0,1.4720419371317444,30.299999999999997
Baldwin,33430.0,17.74404280470354,39.8
Baldwin Hills,33012.0,13.84785528082787,41.5
Baldwin Park,77692.0,4.5270484024043025,31.9
Baltimore,784822.0,13.502715651995027,37.39473684210526
Banning,32793.0,1.2806620037434735,44.2
Bardstown,29228.0,0.0,35.8
Barranquitas,30462.0,0.5776921937490742,33.7
Barstow,32831.0,2.1404399323181047,33.2
Bartlesville,26111.0,0.18421052631578946,41.7
Bartow,26273.0,0.20202020202020202,36.9
Basking Ridge,26955.0,5.81538209517569,42.8
Bastrop,25444.0,0.6515944318294007,39.2
Batavia,62340.0,1.7503566470245158,38.45
Batesville,25349.0,0.21769995267392334,37.8
Baton Rouge,261135.0,2.149101191228257,33.5625
Battle Creek,26055.0,0.5088421755088421,40.7
Battle Ground,34840.0,0.32462848073871015,36.9
