City,Population,Public Transportation Rate,Median Age,Lat,Lng
Beaumont,75045.0,0.6541817826699574,38.5,30.080174,-94.1265562
Beaver Falls,28232.0,1.3694242011692157,42.3,40.7520097,-80.31922949999999
Beavercreek,40104.0,0.3085909516724528,31.9,39.7092262,-84.06326849999999
Beaverton,125393.0,8.576297543707383,35.36666666666667,45.4888761,-122.8013771
Beckley,34021.0,0.0,40.1,37.7781702,-81.1881557
Bedford,34998.0,0.366393567757366,40.9,32.844017,-97.1430671
Beeville,28186.0,0.0,36.0,28.4008319,-97.7483312
Bel Air,63138.0,1.212495230745168,40.75,34.1002455,-118.459463
Bell Gardens,130178.0,6.861791595095485,27.85,33.9652918,-118.1514588
Belle Isle,63183.0,6.088887550474866,36.75,42.3432541,-82.9743495
Belleair,30624.0,2.6166097838452793,44.7,27.9358543,-82.8062139
Bellerose,27156.0,20.27197740952664,41.1,40.72437070000001,-73.71540139999999
Belleville,109938.0,3.774615094997705,37.566666666666656,38.5200504,-89.9839935
Bellevue,196425.0,6.47892843374576,36.35,47.6101497,-122.2015159
Bellflower,77455.0,4.602288672008981,32.3,33.8816818,-118.1170117
Bellingham,119999.0,3.8679635473367777,35.4,48.7519112,-122.4786854
Bellmead,29392.0,0.2789753994420492,32.7,31.5989517,-97.0894496
Bellmore,35151.0,12.516958650386364,42.1,40.6687125,-73.5270709
Bellview,36203.0,0.28463585174184763,41.8,30.4615858,-87.3149742
Belmont,51789.0,10.038910747130167,40.55,39.02468289999999,-94.86583910000002
Beloit,48760.0,0.6003679674639295,38.3,42.5083482,-89.03177649999999
Belvedere,31655.0,0.08581235697940504,40.9,37.8727044,-122.4644171
Belvidere,34786.0,0.11734793663211422,37.6,42.2639098,-88.84426739999999
Bemidji,33463.0,1.048906862125616,34.5,47.471573,-94.8826861
Benbrook,72279.0,1.2090541545498192,34.5,32.673188,-97.4605759
Bend,103048.0,0.6585996845727123,40.6,44.0581728,-121.3153096
Benicia,27515.0,4.582086115588303,43.2,38.049365,-122.1585777
Benjamin,39533.0,1.3052525379910458,26.4,37.2241333,-95.74046910000001
Benton,26291.0,0.2012072434607646,40.2,38.9563071,-92.3190455
Benton Harbor,31799.0,1.212455221824194,35.6,42.1167065,-86.45418939999999
Bentonville,44755.0,0.10706139738397803,33.0,36.3728538,-94.2088172
Berenda,40101.0,0.3350736382763189,29.8,37.0402237,-120.1535014
Bergenfield,27157.0,12.656677712145223,40.3,40.9275987,-73.9973608
Berkeley,26334.0,22.885519008970533,21.8,37.8715226,-122.273042
Berwyn Heights,29017.0,14.787342633548825,25.4,38.9939991,-76.9105292
