Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate
03246,16014.0,45.6,7291.0,0.0,0.0
03249,7142.0,49.7,3714.0,0.0,0.0
03251,1309.0,49.0,515.0,0.0,0.0
03253,6283.0,48.6,2667.0,0.0,0.0
03254,4052.0,54.6,1988.0,8.0,0.4024144869215292
03255,1756.0,49.7,892.0,0.0,0.0
03256,2266.0,44.8,1210.0,0.0,0.0
03257,4650.0,49.8,1790.0,11.0,0.6145251396648045
03258,2522.0,48.8,1396.0,0.0,0.0
03259,318.0,58.4,157.0,0.0,0.0
03260,742.0,48.3,423.0,8.0,1.8912529550827424
03261,4269.0,43.3,2286.0,0.0,0.0
03262,1043.0,43.6,558.0,0.0,0.0
03263,4082.0,38.6,1987.0,0.0,0.0
03264,7453.0,24.1,3648.0,0.0,0.0
03266,2284.0,48.8,1163.0,10.0,0.8598452278589854
03268,1290.0,45.6,714.0,0.0,0.0
03269,2977.0,50.2,1674.0,0.0,0.0
03273,322.0,55.4,133.0,0.0,0.0
03275,11424.0,40.1,5876.0,17.0,0.2893124574540504
03276,8363.0,42.6,4078.0,0.0,0.0
03278,2951.0,45.3,1536.0,0.0,0.0
03279,620.0,50.3,268.0,0.0,0.0
03280,1013.0,51.2,477.0,0.0,0.0
03281,8849.0,37.4,5339.0,18.0,0.33714178685147034
03282,896.0,50.3,379.0,0.0,0.0
03284,1106.0,41.0,598.0,0.0,0.0
03285,2479.0,48.1,1363.0,0.0,0.0
03287,1286.0,46.7,636.0,5.0,0.7861635220125787
03290,4780.0,43.3,2833.0,12.0,0.42357924461701374
03291,31.0,45.1,20.0,0.0,0.0
03293,94.0,52.3,30.0,0.0,0.0
