Zipcode,Population,Median Age,Transportation (total),Public Transportation,Public Transportation Rate,City,State,Lat,Lng
00987,60544.0,36.3,22055.0,728.0,3.300838812060757,Carolina,,18.3546149,-65.94525279999999
01020,30593.0,43.0,14460.0,153.0,1.058091286307054,Chicopee,MA,42.1753663,-72.5737187
01040,40079.0,35.6,15409.0,458.0,2.9722889220585373,Holyoke,MA,42.2172092,-72.6269437
01085,41121.0,38.4,19674.0,102.0,0.518450747179018,Westfield,MA,42.1318779,-72.7570024
01109,30987.0,25.4,9737.0,729.0,7.486905617746739,Springfield,MA,42.1237147,-72.5500596
01201,45557.0,43.5,21109.0,229.0,1.084845326637927,Pittsfield,MA,42.46345030000001,-73.3001233
01420,40419.0,33.9,17990.0,305.0,1.6953863257365203,Fitchburg,MA,42.5768698,-71.8334145
01453,40978.0,41.4,20605.0,286.0,1.38801261829653,Leominster,MA,42.52334339999999,-71.7385225
01545,35818.0,39.8,18000.0,289.0,1.6055555555555556,Shrewsbury,MA,42.2834603,-71.726659
01604,34628.0,35.4,15836.0,445.0,2.8100530436979034,Worcester,MA,42.2530794,-71.7741103
01701,31780.0,43.4,16439.0,471.0,2.865137782103534,Framingham,MA,42.3240042,-71.4536835
01702,38180.0,33.5,20217.0,1010.0,4.995795617549587,Framingham,MA,42.2781628,-71.4358733
12866,37268.0,41.2,18450.0,275.0,1.4905149051490514,Saratoga Springs,NY,43.0964412,-73.7242486
12901,32843.0,35.0,14785.0,71.0,0.4802164355765979,Plattsburgh,NY,44.74786659999999,-73.44167209999999
13021,39326.0,42.0,18081.0,354.0,1.9578563132570102,Owasco,NY,42.9024331,-76.5719414
13027,31724.0,44.9,15534.0,94.0,0.6051242435946955,Lysander,NY,43.1474925,-76.3868797
13045,30009.0,32.9,13931.0,163.0,1.1700524011198048,Cortland,US,42.5890797,-76.2015572
13090,30295.0,37.9,16306.0,168.0,1.0302955967128664,Liverpool,NY,43.1462926,-76.2226032
13126,37190.0,35.4,16185.0,157.0,0.9700339820821748,Oswego,NY,43.4244918,-76.4794435
13440,42221.0,42.6,18428.0,142.0,0.7705665291947037,Rome,NY,43.2212399,-75.45777749999999
13501,38464.0,34.1,14124.0,464.0,3.285188331917304,Utica,NY,43.0808833,-75.21873459999999
13502,32415.0,38.4,13319.0,386.0,2.898115474134695,Utica,US,43.1467071,-75.17788530000001
13601,38348.0,33.2,17332.0,170.0,0.9808446803600277,Watertown,NY,43.9959887,-75.92309759999999
13760,44585.0,42.3,20853.0,412.0,1.9757349062485015,Endicott,US,42.1387904,-76.07399989999999
14075,42837.0,43.6,21396.0,129.0,0.6029164329781268,Hamburg,NY,42.7279833,-78.8609122
14086,32159.0,41.6,17069.0,87.0,0.509695940008202,Lancaster,NY,42.8982361,-78.6341996
14094,50605.0,41.5,23575.0,152.0,0.6447507953340403,Lockport,NY,43.17139479999999,-78.6795836
14120,44800.0,42.6,21994.0,158.0,0.7183777393834683,North Tonawanda,NY,43.0744059,-78.8609122
14127,30329.0,45.4,15202.0,98.0,0.6446520194711223,Orchard Park,NY,42.7576584,-78.77028949999999
14150,41908.0,44.0,20644.0,393.0,1.903700833171866,Tonawanda,NY,43.0083406,-78.8722341
14215,39786.0,31.3,14181.0,2178.0,15.358578379521896,Cheektowaga,NY,42.93975529999999,-78.8099472
14221,54109.0,47.6,26113.0,264.0,1.0109906942902003,Williamsville,NY,42.9734553,-78.713608
14224,40002.0,45.4,19761.0,221.0,1.1183644552401195,West Seneca,Erie County,42.8410449,-78.7362845
14225,33228.0,41.3,16724.0,226.0,1.3513513513513513,Cheektowaga,NY,42.9202891,-78.7589558
14450,41414.0,44.4,20900.0,213.0,1.0191387559808613,Fairport,US,43.0745542,-77.4013403
14534,32399.0,45.9,15300.0,21.0,0.13725490196078433,Pittsford,US,43.0515702,-77.53901270000001
14580,50946.0,43.2,24609.0,148.0,0.6014059896785728,Webster,NY,43.23236379999999,-77.4472495
14609,44103.0,33.4,19575.0,1003.0,5.123882503192848,Rochester,NY,43.1770344,-77.55047789999999
14612,34668.0,43.9,18349.0,139.0,0.7575344705433539,Greece,NY,43.2658801,-77.665066
14621,34576.0,32.1,11038.0,1055.0,9.557890922268527,Rochester,NY,43.1874752,-77.60205690000001
14624,35918.0,40.8,18733.0,102.0,0.5444936742646667,Westgate,NY,43.1206737,-77.7337628
14701,40232.0,39.6,16726.0,95.0,0.5679779983259596,Ellicott,NY,42.067239,-79.2676668
14850,65647.0,26.1,28891.0,2672.0,9.248554913294798,Ithaca,NY,42.435511,-76.5257007
15001,32188.0,45.4,14685.0,234.0,1.5934627170582227,Aliquippa,PA,40.5745109,-80.3435908
15068,38256.0,45.7,16534.0,298.0,1.8023466795693721,NEW KENSINGTN,US,40.5604134,-79.7175517
15108,41570.0,41.0,21643.0,522.0,2.4118652682160513,Moon Township,PA,40.491695,-80.1986649
15221,31046.0,41.8,14075.0,3071.0,21.818827708703374,Pittsburgh,PA,40.4368825,-79.85768279999999
15235,33926.0,45.2,16410.0,1182.0,7.202925045703839,Penn Hills,PA,40.4586216,-79.8184684
15237,41733.0,45.0,21459.0,680.0,3.16883358963605,McKnight,PA,40.5610745,-80.0394123
15301,49565.0,43.5,23272.0,119.0,0.5113441045032657,Washington,PA,40.1627412,-80.254435
15317,36860.0,43.8,17924.0,353.0,1.9694264673064048,Canonsburg,PA,40.2767073,-80.1651854
15401,31749.0,44.8,11961.0,127.0,1.0617841317615584,Uniontown,PA,39.916922,-79.7624177
15601,58187.0,45.9,27494.0,243.0,0.883829199097985,Greensburg,PA,40.30220569999999,-79.53786339999999
15642,45301.0,44.0,23002.0,528.0,2.2954525693417964,NO HUNTINGDON,PA,40.3184305,-79.7175517
15701,34835.0,30.5,14870.0,142.0,0.9549428379287155,Indiana,PA,40.6671629,-79.1322744
16001,39554.0,44.6,17856.0,203.0,1.1368727598566308,Butler,PA,40.9013998,-79.9416549
16101,33758.0,43.1,13146.0,290.0,2.2059942187737716,New Castle,PA,40.98128270000001,-80.2878794
16601,33654.0,38.9,14137.0,73.0,0.5163754686284219,Altoona,PA,40.5203157,-78.4524591
03820,30352.0,36.6,16466.0,364.0,2.2106158144054415,Dover,NH,43.1819713,-70.89523369999999
04103,30211.0,39.9,16558.0,324.0,1.956758062567943,Portland,ME,43.6892051,-70.2720042
04240,36410.0,39.2,15983.0,84.0,0.5255584058061691,Lewiston,ME,44.0939499,-70.1582944
04401,44972.0,37.3,21744.0,254.0,1.1681383370125091,Hermon,ME,44.8504122,-68.86186169999999
06010,60548.0,41.4,29519.0,236.0,0.7994850774077713,Bristol,CT,41.6750889,-72.92243289999999
06040,36197.0,35.3,17254.0,650.0,3.7672423785788802,Manchester,Hartford County,41.7599267,-72.53231389999999
06051,30382.0,31.0,11878.0,591.0,4.975585115339283,New Britain,CT,41.66515769999999,-72.76291259999999
06053,35122.0,33.9,16629.0,382.0,2.2971916531360876,New Britain,CT,41.6881608,-72.7865518
06082,44713.0,40.9,21380.0,293.0,1.3704396632366698,Enfield,CT,42.0027181,-72.5441445
06106,38323.0,29.9,14298.0,2274.0,15.90432228283676,Hartford,CT,41.743111,-72.70380469999999
06111,30652.0,44.2,15524.0,222.0,1.4300438031435196,Hartford,CT,41.6926548,-72.7215385
06340,31760.0,30.0,17731.0,548.0,3.0906322260447805,Jupiter Point,CT,41.3517324,-72.0349647
06360,37351.0,36.7,17959.0,662.0,3.686174063143828,Norwich,CT,41.5532772,-72.0823688
06450,36973.0,39.7,17473.0,267.0,1.528071882332742,Meriden,US,41.5254822,-72.7688226
06457,47424.0,37.1,24379.0,670.0,2.7482669510644406,Middletown,CT,41.5460323,-72.6505957
06460,38145.0,43.6,19643.0,973.0,4.953418520592577,Milford,CT,41.2220944,-73.0464309
06484,40472.0,45.6,20512.0,338.0,1.6478159126365055,Shelton,CT,41.3104378,-73.1467619
06489,32644.0,44.1,16577.0,85.0,0.5127586414912227,Southington,CT,41.6176069,-72.86336349999999
06492,45193.0,43.7,23888.0,263.0,1.1009711989283322,Yalesville,CT,41.45930389999999,-72.7806422
06511,52652.0,28.8,23555.0,3724.0,15.809806835066865,New Haven,CT,41.3212912,-72.9283391
06513,40660.0,34.1,17733.0,1587.0,8.949416342412452,East Haven,CT,41.3220272,-72.86927109999999
06516,55290.0,36.3,26110.0,1518.0,5.813864419762543,West Haven,CT,41.2681575,-72.9637728
06604,30095.0,30.2,12104.0,1643.0,13.574025115664243,Bridgeport,CT,41.1865502,-73.195196
06606,49027.0,34.0,23315.0,1962.0,8.415183358352992,Bridgeport,CT,41.2078356,-73.21165839999999
06611,36444.0,43.4,16996.0,577.0,3.3949164509296303,Trumbull,CT,41.2509354,-73.2057595
06614,34063.0,43.6,16747.0,919.0,5.487550008956828,Stratford,CT,41.22877500000001,-73.1231585
06770,31919.0,38.8,15467.0,54.0,0.34913040667227,Naugatuck,CT,41.4910157,-73.052334
06790,35826.0,44.3,17621.0,177.0,1.0044832869871176,Torrington,CT,41.8269891,-73.1585626
06810,50969.0,35.2,26906.0,1089.0,4.047424366312347,Danbury,CT,41.3755722,-73.45337789999999
06811,31734.0,40.9,16825.0,530.0,3.150074294205052,Danbury,CT,41.418055,-73.4769458
06824,35030.0,38.1,15433.0,1844.0,11.94842221214281,Fairfield,CT,41.1948222,-73.28833
06902,66495.0,33.8,34634.0,4735.0,13.671536640295663,Stamford,CT,41.0411194,-73.541744
07002,64763.0,38.0,29840.0,6898.0,23.11662198391421,Bayonne,NJ,40.658801,-74.1063776
07003,47624.0,37.9,24316.0,3993.0,16.42128639578878,Bloomfield,NJ,40.7989068,-74.1885825
07011,41226.0,34.2,19128.0,2049.0,10.712045169385194,Clifton,NJ,40.8811561,-74.1416127
07017,35320.0,38.7,14433.0,3382.0,23.432411833991548,East Orange,NJ,40.77254850000001,-74.21206289999999
07024,36020.0,44.7,16736.0,3639.0,21.743546845124282,Fort Lee,NJ,40.8562383,-73.96537150000002
07026,31066.0,35.3,14021.0,1358.0,9.685471792311533,Garfield,US,40.8761974,-74.1063776
07030,51979.0,31.5,33652.0,18532.0,55.06953524307619,Hoboken,NJ,40.744052,-74.0270745
07032,41538.0,36.7,19545.0,2574.0,13.169608595548734,Kearny,US,40.7593718,-74.1181234
07036,42527.0,39.0,20358.0,1647.0,8.090185676392572,Linden,US,40.6216016,-74.22967129999999
07047,62114.0,36.8,29654.0,9261.0,31.230188170229987,North Bergen,NJ,40.8053731,-74.0241367
07050,30202.0,34.1,12192.0,2825.0,23.170931758530184,City of Orange,NJ,40.7680056,-74.2326058
07052,46661.0,40.7,23127.0,3508.0,15.168417866562892,West Orange,NJ,40.8029914,-74.2531465
07055,70702.0,29.6,26345.0,4873.0,18.49686847599165,Passaic,US,40.8597746,-74.12986839999999
07060,45781.0,34.0,24269.0,1964.0,8.09262845605505,North Plainfield,US,40.61374379999999,-74.4232507
07083,53811.0,41.0,26445.0,2068.0,7.820003781433163,Union,NJ,40.6843079,-74.2531465
07087,68338.0,34.4,32137.0,13089.0,40.72875501758098,Union City,NJ,40.773694,-74.0270745
07090,30735.0,40.8,14334.0,2199.0,15.341146923398911,Westfield,NJ,40.6519674,-74.3411515
07093,62908.0,35.2,30866.0,13581.0,43.999870407568196,West New York,NJ,40.7860123,-74.0094471
07103,31737.0,29.5,9671.0,3093.0,31.982214869196568,Newark,NJ,40.7383636,-74.197388
07104,51475.0,31.4,20653.0,6344.0,30.717087105989446,Newark,NJ,40.7758541,-74.16509909999999
07105,51155.0,34.0,25043.0,5014.0,20.02156291179172,Newark,NJ,40.7231264,-74.1416127
07106,30723.0,32.9,11827.0,3021.0,25.543248499196753,Newark,NJ,40.7432865,-74.2326058
07107,37842.0,30.4,14442.0,3860.0,26.72760005539399,Newark,NJ,40.7663804,-74.18564719999999
07109,36121.0,38.2,18741.0,1760.0,9.391174430393255,Belleville,NJ,40.7956149,-74.16509909999999
07111,54268.0,35.7,23730.0,5186.0,21.854193004635484,Irvington,NJ,40.716493,-74.23554039999999
07202,42171.0,33.6,19069.0,2371.0,12.433793067281975,Elizabeth,NJ,40.6517521,-74.21499779999999
07208,32173.0,34.8,15375.0,2159.0,14.042276422764228,Elizabeth,NJ,40.6723782,-74.2208673
07302,38811.0,33.7,24724.0,14253.0,57.648438763954054,Jersey City,NJ,40.7218318,-74.0447003
07304,41821.0,35.4,19161.0,7511.0,39.19941547935912,Jersey City,NJ,40.7160913,-74.07407289999999
07305,62698.0,34.9,25545.0,9831.0,38.48502642395772,Jersey City,NJ,40.7008528,-74.0887576
07306,55376.0,32.7,26326.0,13487.0,51.23072247967789,Jersey City,NJ,40.7329808,-74.0711359
07307,43911.0,33.4,21449.0,8152.0,38.00643386638072,Jersey City,NJ,40.7473758,-74.0505752
07410,32962.0,41.6,16602.0,2175.0,13.100831225153597,Fair Lawn,NJ,40.9370006,-74.1181234
07470,55003.0,43.7,26637.0,1821.0,6.836355445433044,Wayne,NJ,40.9411487,-74.2531465
07501,33225.0,30.6,10028.0,1670.0,16.65337056242521,Paterson,NJ,40.9111613,-74.1621634
07601,43903.0,39.1,22313.0,4194.0,18.796217451709765,Hackensack,NJ,40.8876273,-74.04763779999999
07666,40261.0,39.0,19247.0,3432.0,17.831350340312778,Teaneck,NJ,40.8924932,-74.0123851
07712,38611.0,39.0,18697.0,1027.0,5.492859817082954,Ocean Township,NJ,40.24488040000001,-74.0593872
07726,43324.0,42.0,20359.0,2093.0,10.28046564173093,Englishtown,NJ,40.2800274,-74.347017
07728,56039.0,40.6,26821.0,1714.0,6.3905148950449275,Freehold,NJ,40.2303787,-74.27661859999999
07731,38217.0,38.0,19327.0,697.0,3.6063538055569926,Howell Township,NJ,40.1407113,-74.2061931
07740,30882.0,35.1,14515.0,870.0,5.9937995177402685,Long Branch,NJ,40.29470269999999,-73.9888797
07747,30709.0,41.7,15531.0,1852.0,11.924538020732728,Aberdeen Township,US,40.4031697,-74.22967129999999
07753,37820.0,44.8,16796.0,406.0,2.4172422005239342,Wall Township,NJ,40.2240869,-74.0887576
07960,43932.0,41.3,23004.0,1410.0,6.129368805425144,Morristown,NJ,40.7793504,-74.511172
08003,30574.0,44.0,14956.0,1241.0,8.297673174645627,Cherry Hill,NJ,39.8817088,-74.95594799999999
08012,40616.0,38.1,20196.0,637.0,3.154089918795801,Blackwood,US,39.7891108,-75.0552739
08016,33148.0,40.5,16408.0,785.0,4.784251584592882,Burlington,NJ,40.0669532,-74.8390162
08021,44669.0,36.0,21757.0,1647.0,7.569977478512663,Lindenwold,NJ,39.8073767,-75.0026972
08046,31718.0,40.2,13849.0,872.0,6.296483500613763,Willingboro,NJ,40.0330851,-74.88579890000001
08053,45669.0,40.7,24538.0,744.0,3.032031950444209,Evesham,NJ,39.8522951,-74.88579890000001
08054,41813.0,43.0,21032.0,573.0,2.724419931532902,Mount Laurel Township,NJ,39.9358189,-74.90918529999999
08080,35583.0,43.7,18129.0,370.0,2.040928898449997,Sewell,NJ,39.7622516,-75.11951069999999
08081,49132.0,36.8,23271.0,1510.0,6.488762837866873,Erial,US,39.7236859,-74.9793243
08094,40075.0,40.0,18330.0,274.0,1.4948172394980905,Williamstown,US,39.6747922,-74.9910112
08096,35212.0,40.1,16616.0,560.0,3.370245546461242,Woodbury,NJ,39.8227054,-75.11951069999999
08234,42802.0,39.2,20740.0,345.0,1.6634522661523625,Egg Harbor Township,NJ,39.34804219999999,-74.66346399999999
08302,46620.0,34.7,16835.0,178.0,1.0573210573210574,Bridgeton,US,39.4280941,-75.27123929999999
08332,37452.0,37.0,15147.0,214.0,1.4128210206641578,Millville,NJ,39.3571738,-75.03775019999999
08360,44226.0,36.1,18044.0,505.0,2.798714254045666,Vineland,US,39.4787827,-75.03775019999999
08401,39521.0,37.0,14686.0,4065.0,27.67942257932725,Atlantic City,NJ,39.36851960000001,-74.4408385
08527,55285.0,42.1,25447.0,651.0,2.558258340865328,Jackson Township,NJ,40.0918895,-74.35874729999999
08540,48300.0,38.1,23491.0,2909.0,12.383466008258482,Princeton,US,40.3815302,-74.651754
08618,39195.0,31.2,14424.0,1399.0,9.699112590127566,Trenton,NJ,40.2450268,-74.7863698
08648,32359.0,38.6,16947.0,946.0,5.5821089278338345,Trenton,NJ,40.2912966,-74.72200169999999
