,aqi,aqi,aqi,aqi,aqi
,mean,median,var,std,sem
Mesquite,1.48,1.0,0.63,0.8,0.03
Miami,1.82,2.0,0.53,0.73,0.03
Mid Island,1.9,1.0,1.49,1.22,0.05
Middle Village,2.06,1.0,2.03,1.42,0.05
Mililani,1.47,1.0,0.28,0.52,0.02
Mill Creek,1.59,1.0,0.86,0.93,0.04
Mobile,1.29,1.0,0.23,0.48,0.02
Mooresville,1.17,1.0,0.18,0.42,0.02
Mount Airy,1.16,1.0,0.13,0.37,0.01
Mount Pleasant,1.29,1.0,0.21,0.45,0.02
Mount Prospect,1.66,1.0,0.97,0.98,0.04
Mountain Brook,1.21,1.0,0.21,0.46,0.02
Murfreesboro,1.16,1.0,0.14,0.37,0.01
NEW PRT RCHY,1.56,2.0,0.25,0.5,0.02
Naples,1.6,2.0,0.27,0.52,0.02
New York,2.09,2.0,1.96,1.4,0.05
Newnan,1.16,1.0,0.16,0.4,0.02
Newton,1.26,1.0,0.24,0.49,0.02
Norcross,1.28,1.0,0.26,0.51,0.02
Normal,1.26,1.0,0.28,0.52,0.02
North Bergen,2.09,2.0,1.96,1.4,0.05
North Charleston,1.19,1.0,0.15,0.39,0.01
North Massapequa,1.68,1.0,1.37,1.17,0.04
North Philadelphia,1.93,1.0,1.67,1.29,0.05
North Ridgeville,1.38,1.0,0.31,0.56,0.02
Northeast Washington,1.78,1.0,1.22,1.11,0.03
Northwest Washington,1.78,1.0,1.23,1.11,0.04
Oak Glen,1.47,1.0,0.48,0.69,0.03
Oak Lawn,1.74,1.0,1.16,1.08,0.04
Odessa,1.18,1.0,0.18,0.42,0.02
Omaha,1.56,1.0,0.65,0.8,0.03
Oregon City,1.58,1.0,1.08,1.04,0.04
Oro Valley,1.74,2.0,0.62,0.79,0.03
Overland Park,1.43,1.0,0.51,0.72,0.03
Oxford,1.1,1.0,0.09,0.3,0.01
Ozone Park,1.96,2.0,1.59,1.26,0.03
Painesville,1.28,1.0,0.22,0.46,0.02
Palm Harbor,1.56,2.0,0.27,0.52,0.02
Palos Verdes Peninsula,3.4,4.0,2.16,1.47,0.06
Paramount,1.35,1.0,0.42,0.65,0.02
Peabody,1.39,1.0,0.57,0.76,0.03
Pensacola,1.32,1.0,0.22,0.47,0.02
Perth Amboy,1.9,1.0,1.49,1.22,0.05
Pflugerville,1.33,1.0,0.23,0.48,0.02
Philadelphia,1.93,1.0,1.67,1.29,0.05
Piscataway,1.68,1.0,1.06,1.03,0.04
Placentia,2.94,3.0,2.25,1.5,0.06
Plainview,1.68,1.0,1.37,1.17,0.04
Ponce,1.19,1.0,0.15,0.39,0.01
Portage,1.18,1.0,0.16,0.4,0.02
Powder Springs,1.28,1.0,0.36,0.6,0.02
Queens,2.06,1.0,2.03,1.42,0.05
Rancho Cordova,2.04,2.0,1.15,1.07,0.04
Redding,1.19,1.0,0.15,0.39,0.01
Rego Park,2.06,1.0,2.03,1.42,0.05
Revere,1.49,1.0,0.8,0.89,0.03
Riverview,1.45,1.0,0.46,0.68,0.03
Roanoke,1.38,1.0,0.24,0.49,0.02
Rockford,1.43,1.0,0.5,0.7,0.03
Romansville,1.48,1.0,0.69,0.83,0.03
Rome,1.81,1.0,1.31,1.14,0.04
Royal Oak,1.59,1.0,0.71,0.84,0.03
S CHESTERFLD,1.21,1.0,0.21,0.46,0.02
SIENNA PLANT,1.36,1.0,0.32,0.57,0.02
SUGARCRK Township,1.26,1.0,0.25,0.5,0.02
Saginaw,1.29,1.0,0.24,0.49,0.02
Salinas,1.5,1.0,0.45,0.67,0.03
San Antonio,1.35,1.0,0.25,0.5,0.02
San Diego,2.77,2.0,1.92,1.39,0.05
San Francisco,2.74,2.0,1.98,1.41,0.05
Santa Monica,3.6,4.0,2.16,1.47,0.06
Scarsdale,1.66,1.0,1.39,1.18,0.04
Schenectady,1.2,1.0,0.2,0.44,0.02
Snellville,1.27,1.0,0.29,0.53,0.02
Somerset,1.13,1.0,0.12,0.34,0.01
South Hempstead,1.64,1.0,1.27,1.13,0.04
Southeast Washington,1.09,1.0,0.08,0.28,0.01
Spring Valley,1.4,1.0,0.56,0.75,0.03
St. Charles,1.39,1.0,0.48,0.69,0.03
Sun City,2.65,2.0,2.19,1.48,0.06
Suwanee,1.23,1.0,0.19,0.44,0.02
Swansea,1.15,1.0,0.13,0.36,0.01
Syracuse,1.17,1.0,0.19,0.43,0.02
Taylor,1.27,1.0,0.23,0.48,0.02
Texarkana,1.14,1.0,0.12,0.34,0.01
The Bronx,2.06,1.0,2.03,1.42,0.05
The Villages,1.28,1.0,0.21,0.46,0.02
Thousand Oaks,1.79,2.0,1.02,1.01,0.04
Toledo,1.3,1.0,0.29,0.54,0.02
Tomball,1.38,1.0,0.32,0.56,0.02
Traverse City,1.31,1.0,0.23,0.48,0.02
Tulare,2.48,2.0,1.58,1.26,0.05
Twin Falls,1.17,1.0,0.22,0.47,0.02
Tyler,1.19,1.0,0.17,0.42,0.02
Union,1.3,1.0,0.25,0.5,0.02
Uniontown,1.14,1.0,0.12,0.35,0.01
Upper Gwynedd,1.61,1.0,0.97,0.99,0.04
VLG WELLINGTN,1.52,2.0,0.28,0.53,0.02
Vacaville,1.67,1.0,0.85,0.92,0.03
Valrico,1.4,1.0,0.26,0.51,0.02
Victoria,1.35,1.0,0.23,0.48,0.02
Victorville,1.76,2.0,0.5,0.71,0.03
Virginia Beach,1.39,1.0,0.41,0.64,0.02
Waterbury,1.41,1.0,0.64,0.8,0.03
Wayne,1.27,1.0,0.23,0.48,0.02
Webster,1.29,1.0,0.23,0.48,0.02
West Bronx,2.09,2.0,1.96,1.4,0.05
West Chester Township,1.3,1.0,0.32,0.56,0.02
West Haven,1.51,1.0,0.9,0.95,0.04
West New York,2.09,2.0,1.96,1.4,0.05
