UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Miles,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
299,"Holland, MI","99,941","904,197","68,929","1,848,648","430,239","$4,593,618",0.0,0,0,$0,"904,197","1,848,648","$4,593,618",0.0,0,0.0,0
300,"Turlock, CA","99,904","444,580","37,983","983,153","223,278","$2,837,779",0.0,0,0,$0,"444,580","983,153","$2,837,779",0.0,0,0.0,0
301,"Wichita Falls, TX","99,437","574,267","37,333",0,"487,845","$2,555,244",0.0,0,0,$0,"574,267",0,"$2,555,244",0.0,0,0.0,0
302,"Longview, TX","98,884","355,138","23,185",0,"254,913","$1,739,449",0.0,0,0,$0,"355,138",0,"$1,739,449",0.0,0,0.0,0
303,"Gilroy-Morgan Hill, CA","98,413","173,749","15,418","647,279","214,048","$2,927,090",0.0,0,0,$0,"173,749","647,279","$2,927,090",0.0,0,0.0,0
304,"Coeur d'Alene, ID","98,378","335,858","22,056",0,"205,603","$1,344,508",0.0,0,0,$0,"335,858",0,"$1,344,508",0.0,0,0.0,0
305,"St. George, UT","98,370","370,284","27,122",0,"418,984","$1,640,901",0.0,0,0,$0,"370,284",0,"$1,640,901",0.0,0,0.0,0
306,"Chico, CA","98,176","1,183,759","90,731","5,213,621","1,080,179","$7,548,107",0.0,0,0,$0,"1,183,759","5,213,621","$7,548,107",0.0,0,0.0,0
307,"Salisbury, MD-DE","98,081","1,620,116","67,797","7,053,958","292,518","$5,885,113",0.0,0,0,$0,"1,620,116","7,053,958","$5,885,113",0.0,0,0.0,0
308,"Middletown, OH","97,503","208,698","16,747",0,"146,186","$998,825",0.0,0,0,$0,"208,698",0,"$998,825",0.0,0,0.0,0
309,"Albany, GA","95,779","727,864","44,626","4,126,577","780,532","$4,082,360",0.0,0,0,$0,"727,864","4,126,577","$4,082,360",0.0,0,0.0,0
310,"Vineland, NJ","95,259","487,078","33,951","477,907","88,297","$2,325,203",0.0,0,0,$0,"487,078","477,907","$2,325,203",0.0,0,0.0,0
311,"Logan, UT","94,983","854,483","58,175","4,457,093","1,369,359","$5,017,586",0.0,0,0,$0,"854,483","4,457,093","$5,017,586",0.0,0,0.0,0
312,"Lawton, OK","94,457","605,112","42,175",0,"359,194","$2,514,165",0.0,0,0,$0,"605,112",0,"$2,514,165",0.0,0,0.0,0
313,"Decatur, IL","93,863","1,096,699","78,303","3,386,339","1,160,853","$7,229,222",0.0,0,0,$0,"1,096,699","3,386,339","$7,229,222",0.0,0,0.0,0
314,"Vacaville, CA","93,141","676,840","46,038","759,016","461,166","$3,151,917",0.0,0,0,$0,"676,840","759,016","$3,151,917",0.0,0,0.0,0
315,"San Angelo, TX","92,984","680,962","39,611","1,990,057","223,763","$2,955,753",0.0,0,0,$0,"680,962","1,990,057","$2,955,753",0.0,0,0.0,0
316,"Terre Haute, IN","92,742","466,737","40,334","511,039","259,078","$2,737,766",0.0,0,0,$0,"466,737","511,039","$2,737,766",0.0,0,0.0,0
317,"Charlottesville, VA","92,359","1,399,545","138,005","1,437,985","1,646,024","$9,432,785",0.0,0,0,$0,"1,399,545","1,437,985","$9,432,785",0.0,0,0.0,0
